price_sq,price,state,county,Risk_1_Type,Risk_1_Score,Risk_2_Type,Risk_2_Score,Risk_3_Type,Risk_3_Score,risk_score,risk_ratng,income,white_pct,black_pct,asian_pct,hispanic_pct,ed_pct,tax_paid_2022,tax_trend,unemp_rate,pop_density
249,367310.255995933,MO,Camden,WNTW,99.04549793,HWAV,95.60929049,LNDS,93.02923225,72.3830735,Relatively Low,55182.0,0.9056965726985612,0.0057784536203064,0.0051701953444847,0.0316996139899403,22.4039698585,1321.0,7.8,4.2,59.6995943375125
127,223511.9354846445,MO,Cape Girardeau,HWAV,96.59560929,ERQK,96.56379255,WNTW,93.4775692,87.33693923,Relatively Moderate,54568.0,0.8247827683270101,0.0790478521600783,0.0159099253457349,0.0273405947864398,32.7536675987,1348.0,8.3,2.9,137.90376086082827
204,212000.1647053332,MO,Carter,ERQK,81.22812599,RFLD,79.60547248,WNTW,79.0009545,39.16640153,Very Low,50444.0,0.9215686274509804,0.0021145713187235,0.0034602076124567,0.0186466743560169,13.1715298609,785.0,9.3,5.8,10.082476444701115
174,278978.4759768671,MO,Cass,ISTM,96.66888741,WNTW,96.59560929,LTNG,92.92149292,76.2328985,Relatively Low,59720.0,0.8291845971212346,0.0454815254488796,0.0077997477370529,0.0517788247514468,27.2198161026,2212.0,6.1,3.1,151.82751408217
111,189915.4945467486,MO,Cedar,ISTM,77.51499001,HWAV,70.25135221,SWND,68.91504932,32.67578746,Very Low,40183.0,0.9091485762616296,0.0040174795601917,0.0029602480969833,0.0183958274598252,15.4363099481,872.0,5.1,3.8,28.14636972471217
171,257969.24292222643,MO,Christian,SWND,96.94559338,TRND,86.03245307,LTNG,85.36036036,72.06490614,Relatively Low,52867.0,0.887980909929988,0.0067197946916998,0.0070237050043898,0.0339028837711893,31.4667837482,1723.0,11.3,2.7,155.9008691271771
170,262762.10354853194,MO,Clay,WNTW,99.80909959,ISTM,97.40173218,TRND,96.88195991,86.89150493,Relatively Moderate,60043.0,0.7629502437483964,0.0704719047901,0.0239169479148163,0.0744074052144393,34.1594618296,2733.0,5.0,2.8,612.6616949253134
156,256418.9768249748,MO,Clinton,HAIL,95.95927458,HWAV,75.46929685,TRND,74.73751193,56.22017181,Relatively Low,52880.0,0.9093655589123868,0.0095354984894259,0.0040124622356495,0.0236971299093655,21.2763050014,1722.0,7.4,3.1,49.47894330290644
126,234177.70520688876,MO,Cole,ISTM,98.73417722,HWAV,91.75946548,SWND,87.59147311,74.61024499,Relatively Low,61479.0,0.7954813079879398,0.1040515534621307,0.0124872216255386,0.0344336753839982,35.3087342363,1718.0,8.3,2.6,191.06232837465083
141,211909.62161023283,MO,Cooper,HWAV,91.66401527,WNTW,87.49602291,CWAV,78.52370347,45.11613108,Very Low,54107.0,0.8612524118575688,0.0537917324446003,0.0039174413845524,0.0188271063556101,23.2750612279,1174.0,2.3,3.1,29.718568837060644
141,192562.3860862436,MO,Crawford,HWAV,93.57301941,ERQK,83.61438116,HAIL,75.21476297,54.56570156,Relatively Low,48462.0,0.9099583622484386,0.0064191533657182,0.0035131852879944,0.0209056210964607,11.9997541034,999.0,11.1,3.5,30.641783696426042
115,179454.54239038323,MO,Dade,SWND,81.67356029,HWAV,78.30098632,ISTM,74.78347768,29.90773147,Very Low,46071.0,0.924164354604307,0.0044920068701281,0.0031708283789139,0.0178359096313912,13.830755232,947.0,7.6,3.1,14.70376879905172
138,213818.0285836131,MO,Dallas,ISTM,89.44037308,HWAV,88.7368756,WFIR,81.80082724,51.67037862,Relatively Low,42354.0,0.9194540448714194,0.0025774705641145,0.0014644719114287,0.0187452404662878,13.0423620026,739.0,0.3,3.1,31.10917219196392
111,241896.3180757432,MO,Daviess,DRGT,89.24594337,HWAV,78.74642062,HAIL,75.62838053,30.76678333,Very Low,40834.0,0.939976275207592,0.0036773428232502,0.0018979833926453,0.0134045077105575,20.017873101,1086.0,4.7,2.8,14.593158432123502
180,214364.4514558433,MO,DeKalb,DRGT,87.59147311,HWAV,74.99204582,WNTW,61.62901686,31.30766783,Very Low,45223.0,0.875238008885665,0.0609302747302566,0.003808142170641,0.0205821017317979,15.3342683497,1300.0,15.5,3.3,25.49517963828943
99,185945.2788152232,MO,Dent,ISTM,87.94137242,HWAV,83.00986319,ERQK,82.27807827,46.16608336,Very Low,45672.0,0.915539837736634,0.0036058525761042,0.0037445392136467,0.018792039387005,15.5942762582,777.0,10.4,3.6,18.898539566248733
171,211271.3145631516,MO,Douglas,SWND,74.54661152,HWAV,73.87846007,WFIR,67.96054725,26.59879096,Very Low,39205.0,0.9157021938158576,0.0030229746070133,0.0020728968733805,0.0206425980307479,13.199527745,655.0,5.6,5.1,14.04803389308164
57,113406.76969974815,MO,Dunklin,ISTM,97.90139907,ERQK,96.11835826,DRGT,92.20489978,83.51893096,Relatively Moderate,46434.0,0.7647349998232154,0.1122936039316904,0.0027578403988261,0.072198847364141,13.8686131387,675.0,10.3,5.5,51.048758884449306
166,255644.69703074533,MO,Franklin,HWAV,97.04104359,ISTM,92.8047968,ERQK,91.37766465,81.64174356,Relatively Low,57522.0,0.9140062283869242,0.0084064117995452,0.0050820580424523,0.0210637932022697,21.1391199967,1697.0,8.2,3.0,111.11488962699855
108,217276.8998269448,MO,Gasconade,HWAV,87.24148902,ISTM,68.65423051,ERQK,67.45147948,21.47629653,Very Low,51240.0,0.926389076652697,0.0012167094768149,0.0034473435176422,0.0127754495065567,18.101360164,1205.0,5.0,2.8,27.78449383824978
